,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,2.335928201675415,0.7124084830284119,1.3921765089035034,0.0,1.4059630632400513,2.216494560241699,2.2153372764587402,1.4113978147506714,2.500856399536133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLMC,0.8502804636955261,1.3773529529571533,2.660621166229248,0.0,0.6278753876686096,1.925264835357666,0.7541612386703491,2.0169880390167236,1.4881491661071777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,0.0,0.7676444053649902,1.4916579723358154,0.0,0.0,0.7017854452133179,0.0,1.5222866535186768,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL1,1.4639657735824585,1.294003963470459,1.8921482563018799,0.0,1.2645760774612427,2.4127979278564453,0.6364562511444092,1.8575735092163086,1.996415376663208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature MSN,2.2344889640808105,0.6900073289871216,1.3463554382324219,0.0,0.6533851623535156,1.9344468116760254,2.146022319793701,1.4075491428375244,2.0652894973754883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL2,1.6136655807495117,0.6413804292678833,1.3500275611877441,0.0,1.4058120250701904,2.0395307540893555,0.7729423642158508,1.9764618873596191,2.319216251373291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature CMPN,0.7445868849754333,0.0,0.0,0.0,1.3697551488876343,0.7507690191268921,0.5783885717391968,0.7456775903701782,0.7872849106788635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dEGC,1.2502824068069458,2.1237199306488037,2.848083734512329,0.6023029088973999,2.421041488647461,1.9924607276916504,0.6245059370994568,2.162323474884033,1.3933262825012207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL3,0.8650937080383301,0.646937370300293,0.673115611076355,0.0,0.657994270324707,1.2922682762145996,1.3712233304977417,1.2213776111602783,1.5328620672225952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature cckIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature dpEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
