,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
sstIN,5.080917,3.4174154,4.0087223,6.0373178,5.113985,4.753406,4.145211,4.5272317,2.3697386,7.766877,5.293011,6.232153,7.5992465,4.3498335,3.4088051,6.7209873,6.308665,3.6946614,2.6546698,2.9193017,1.5328301,2.7417898,2.39855,0.6472194,0.72768587,0.60416687,3.4978771,2.1356082,1.1422305,2.3319998,3.780503,2.4544797
Unknown,3.6326954,2.4063027,3.4081576,4.9143467,4.100248,4.24249,3.6427734,3.9980674,2.1509776,6.3070807,3.7573123,5.1897187,5.8623095,3.9653323,3.1243424,5.149967,5.6407013,2.8683593,2.0447383,2.1270342,1.3277214,2.3860645,2.1913412,0.56753165,0.610512,0.0,2.652489,1.8226023,1.0810293,2.1109693,3.3465545,2.2481499
tlNBL,4.3839,3.092248,4.0683284,5.654533,4.828753,4.923359,4.414926,4.563626,2.702137,7.0397015,4.5453024,5.8089676,6.610455,4.4892845,3.720737,5.9017634,6.2993565,3.5209284,2.7451842,2.8461237,1.9597124,3.043759,2.913953,1.0246252,1.3364074,0.6138924,3.2923927,2.5327537,1.5536081,2.8261304,4.069237,3.0031497
dpEX,5.08261,3.3659499,4.0297995,5.995488,5.017869,5.225999,4.117716,5.0784855,2.401358,7.847761,5.40139,6.875099,7.6848035,5.1331196,4.166611,6.836671,6.834611,3.8637009,2.7221646,2.7670655,1.3637817,2.5943594,2.195749,0.62336147,0.5354555,0.64499676,3.5923653,2.0816617,1.6230614,2.1306643,3.7272487,2.2723079
MCG,3.564609,3.0541382,2.9694562,4.9072475,4.011595,4.2036195,3.0078335,3.642336,2.6097903,5.7080126,3.7886622,5.056012,5.3619504,4.275374,3.8637729,5.0832796,5.0362616,2.958238,2.1080725,2.1910908,1.2712941,2.4563904,2.34352,1.4652215,0.6919977,0.61461306,2.6901226,1.3639755,2.051619,2.2816398,2.7259576,2.2892795
CMPN,3.6678905,1.924027,2.4478304,4.633281,4.0610166,3.371459,3.2930493,3.0819259,1.9990141,5.4963284,3.041533,4.762663,5.5535603,2.8143494,2.7666893,4.238348,4.537293,2.8234842,2.1187716,2.1389365,1.3089461,2.439175,2.2176886,0.63182855,0.67434233,0.0,2.6414523,1.3521326,1.1861665,2.1292765,2.7099216,2.2599466
npyIN,3.5821524,2.4185815,3.4442935,4.904997,4.022271,4.2399993,3.653452,3.955452,2.0895064,6.296373,3.8404217,5.096829,5.8388634,3.914471,3.0380561,5.193488,5.5604568,2.7796817,1.9847229,2.130023,1.3307688,2.337757,2.2020407,0.6136524,0.64076036,0.0,2.5632203,1.8378954,1.0465789,2.118232,3.3267949,2.2518015
cckIN,4.3029757,2.4388494,4.1056256,4.852909,3.9907634,4.35446,3.6954498,4.57772,1.9958482,6.2687974,3.9165916,5.764186,6.427724,4.405075,3.534493,5.183196,6.1271915,3.3740394,1.898994,2.1402535,1.3799922,2.361066,2.2322965,0.63529825,0.71253103,0.0,2.4588366,1.8980539,1.1094134,2.144559,3.308907,2.2608848
scgnIN,4.56643,3.199181,4.2977457,6.0451155,5.0699997,5.1793103,4.6874666,4.9025617,2.7810583,7.4541626,4.6978188,6.164501,7.013574,4.716676,3.9962354,6.1675687,6.6923532,3.6894934,2.9158952,2.9143481,1.9753382,3.2278054,2.9623728,1.0449865,1.3218075,0.5679127,3.498882,2.5738058,1.6595242,2.8814745,4.2098255,3.0641575
ribEGC,4.8795166,4.749832,5.081564,6.392458,5.469299,4.203208,4.3873854,5.7825155,2.3563397,7.2119784,4.3196936,5.3761644,7.3339086,5.858655,5.416865,6.5375133,6.979961,3.107383,3.0941339,2.4150698,1.1025009,3.7887735,2.5419743,1.6596525,1.0058984,0.51640636,3.4684741,2.2828555,1.6947279,2.4072084,3.5487585,2.5745962
mpEX,3.9814217,2.9765253,3.5583286,4.9544044,4.0032697,4.6669626,3.4184248,4.580502,2.3985593,6.5900455,4.1910377,6.302286,6.5158205,5.032552,4.0646896,5.7026505,6.2074337,3.7864873,2.2011108,1.660248,0.8214403,2.1704555,1.7716477,0.60664374,0.0,0.0,2.9435573,1.4788477,1.5506499,1.7362452,3.1008148,1.7054164
ntng1IN,3.8801053,2.590648,4.294991,5.8978896,4.3989115,4.6569033,4.01456,4.9787855,2.256064,6.8122673,4.022512,5.6832676,6.348094,4.759418,3.9480572,5.5096664,6.6443925,3.05818,2.2362428,2.2695081,1.4276539,2.6463368,2.3193727,0.67328006,0.68283963,0.0,2.8773165,1.9425356,1.3147547,2.245254,3.5451357,2.3784764
mpIN,4.6834164,3.495835,4.102569,5.666908,4.606909,4.8421087,4.2382855,4.658455,2.437575,7.295861,4.8260813,6.407741,7.3065333,4.51997,3.5700831,6.4096737,6.473373,3.8763075,2.309449,2.3114,1.4807231,2.7611794,2.3392186,0.6348452,0.6519565,0.0,3.046953,2.1533856,1.1582034,2.275124,3.8412728,2.4150453
