,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,7.033810615539551,9.26913833618164,8.457505226135254,8.968500137329102,8.220376014709473,8.103879928588867,6.926109790802002,8.828290939331055,0,7.425356864929199,5.860419750213623,9.139430046081543,0,11.451866149902344,9.443943977355957,7.074134349822998,9.411748886108398,8.345020294189453,6.558140277862549,0,0,0,0,0,0,0,0,0,0,0,0,0
VLMC,10.274263381958008,15.385000228881836,15.733267784118652,12.545328140258789,9.68893051147461,11.864556312561035,9.188846588134766,12.604520797729492,0,9.308730125427246,9.515686988830566,12.63681697845459,0,16.618223190307617,13.787378311157227,11.282807350158691,12.893880844116211,9.549215316772461,10.773932456970215,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,8.303840637207031,13.437675476074219,16.154258728027344,11.105646133422852,9.807427406311035,12.385594367980957,8.544370651245117,13.967257499694824,0,9.032238006591797,8.50384521484375,12.288432121276855,0,17.802061080932617,14.137700080871582,10.939934730529785,13.047399520874023,8.627265930175781,9.758359909057617,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL1,7.56067419052124,11.441964149475098,11.06600570678711,9.714848518371582,9.350837707519531,9.234509468078613,7.176995754241943,10.647146224975586,0,8.29988956451416,7.287431716918945,9.985047340393066,0,13.07072925567627,10.434036254882812,9.183586120605469,10.776409149169922,8.625862121582031,8.551904678344727,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature MSN,7.018982410430908,9.74283504486084,8.579120635986328,9.369353294372559,8.502437591552734,7.634354591369629,5.824350357055664,8.420553207397461,0,7.804286003112793,6.247903347015381,8.580944061279297,0,10.5579252243042,8.904472351074219,7.668432235717773,8.788704872131348,7.738216876983643,7.596747875213623,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL2,8.089456558227539,13.157302856445312,13.035767555236816,10.387341499328613,10.247227668762207,10.025168418884277,8.003487586975098,11.774786949157715,0,8.982070922851562,7.715132236480713,10.45614242553711,0,14.35450553894043,11.164670944213867,9.686829566955566,11.774724960327148,9.268199920654297,9.024595260620117,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature CMPN,5.061291217803955,8.022929191589355,6.161559581756592,6.583924293518066,6.5192036628723145,6.405090808868408,5.642646789550781,7.049167156219482,0,5.729879379272461,4.258047103881836,7.117832183837891,0,9.094400405883789,7.2384257316589355,5.502705097198486,8.070878028869629,6.7660813331604,5.2282867431640625,0,0,0,0,0,0,0,0,0,0,0,0,0
dEGC,6.000012397766113,11.29537296295166,11.918534278869629,8.032154083251953,7.975771427154541,8.575209617614746,6.880339622497559,11.510618209838867,0,6.457002639770508,6.530063152313232,8.337174415588379,0,13.0589599609375,9.729181289672852,8.459178924560547,10.2984037399292,6.638455867767334,7.393581390380859,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature cckIN,7.299347877502441,9.997355461120605,8.372482299804688,9.513101577758789,8.793952941894531,7.482213497161865,5.974946975708008,8.483539581298828,0,8.211620330810547,6.43733549118042,8.528225898742676,0,10.08963394165039,8.774499893188477,7.853513717651367,8.805386543273926,8.090362548828125,7.946795463562012,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature dpEX,8.355047225952148,11.37810230255127,10.087552070617676,10.903616905212402,10.389561653137207,9.158349990844727,7.769892692565918,9.869068145751953,0,8.965782165527344,7.770430088043213,9.915738105773926,0,12.394730567932129,10.518380165100098,9.178282737731934,10.594352722167969,9.408269882202148,8.858675956726074,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL4,7.186575889587402,12.058626174926758,11.787115097045898,8.880383491516113,9.018980979919434,9.014131546020508,7.157344818115234,11.480206489562988,0,7.624668121337891,7.157537460327148,9.542559623718262,0,12.924849510192871,10.079451560974121,9.177287101745605,10.563359260559082,8.227524757385254,8.221726417541504,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature DMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
wntEGC,8.111217498779297,14.194941520690918,15.03543758392334,10.927177429199219,10.559500694274902,11.38790225982666,8.598626136779785,13.825230598449707,0,8.757190704345703,8.577245712280273,11.260968208312988,0,16.1701717376709,12.416069030761719,10.939884185791016,12.719164848327637,9.043355941772461,9.816909790039062,0,0,0,0,0,0,0,0,0,0,0,0,0
sfrpEGC,7.85145378112793,13.092681884765625,14.89481258392334,9.926735877990723,9.859106063842773,10.97530746459961,8.367666244506836,13.585002899169922,0,8.260268211364746,8.19161605834961,11.082358360290527,0,16.500389099121094,11.880942344665527,10.680147171020508,12.591625213623047,8.681177139282227,9.299227714538574,0,0,0,0,0,0,0,0,0,0,0,0,0
