,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
VLMC,0,4.1112589836120605,3.6219334602355957,0,0,0,0,0,0,0,0,0,0,9.000272750854492,8.895769119262695,0,0,5.554605960845947,4.949379920959473,4.702587604522705,0,6.463319778442383,4.226784706115723,0,4.979525566101074,0,4.906731605529785,5.1363325119018555,4.505176544189453,4.155335903167725,5.964666843414307,4.177746295928955
CP,0,2.1020474433898926,1.6112264394760132,0,0,0,0,0,0,0,0,0,0,4.979166030883789,4.937141418457031,0,0,3.7231149673461914,3.110574722290039,2.879082441329956,0,4.518276691436768,2.332542896270752,0,2.6027774810791016,0,3.119811773300171,2.703275680541992,1.769892930984497,2.3044018745422363,3.6211094856262207,2.343679904937744
dNBL1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Immature MSN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dNBL2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Immature CMPN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dEGC,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dNBL3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Immature cckIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Immature dpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dNBL4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Immature DMIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
wntEGC,0,9.062328338623047,4.513803482055664,0,0,0,0,0,0,0,0,0,0,12.36452865600586,12.018558502197266,0,0,6.386012077331543,6.2917985916137695,6.712109565734863,0,8.788490295410156,4.37013053894043,0,5.780664443969727,0,6.793439865112305,6.065055847167969,6.212376594543457,4.316256523132324,7.1481828689575195,4.8595099449157715
sfrpEGC,0,8.313899040222168,3.7841408252716064,0,0,0,0,0,0,0,0,0,0,12.386880874633789,11.071670532226562,0,0,5.708381652832031,6.038808822631836,6.102110385894775,0,7.994606018066406,3.876317262649536,0,5.308164596557617,0,5.994885444641113,6.034364700317383,5.803674221038818,3.8235292434692383,7.016068458557129,4.308075904846191
Immature mpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dNBL5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
nptxEX,0,2.8611340522766113,1.609783411026001,0,0,0,0,0,0,0,0,0,0,5.18214225769043,5.037600994110107,0,0,4.607193470001221,3.6622705459594727,3.0361294746398926,0,5.552238464355469,2.4152379035949707,0,2.7757859230041504,0,3.635673999786377,2.8785622119903564,1.806721568107605,2.3884117603302,3.8077049255371094,2.4179255962371826
MSN,0,3.3335254192352295,2.137835741043091,0,0,0,0,0,0,0,0,0,0,6.144233703613281,5.6420135498046875,0,0,4.956705093383789,3.4304146766662598,3.3844547271728516,0,5.334747314453125,3.0695993900299072,0,3.2878379821777344,0,3.4361395835876465,3.4571337699890137,2.4494903087615967,3.0390074253082275,4.2189154624938965,3.039937734603882
sstIN,0,2.9323885440826416,1.6142175197601318,0,0,0,0,0,0,0,0,0,0,5.288274765014648,5.0659050941467285,0,0,4.570394992828369,3.6127429008483887,3.6695797443389893,0,5.062606334686279,3.0033674240112305,0,2.793673515319824,0,3.8184621334075928,3.43849515914917,1.9781842231750488,2.456510543823242,3.809631824493408,2.4767916202545166
Unknown,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
